Название;Дата начала;Дата окончания;Статус организатора;Банковские реквизиты
Диспенсер;2021-09-09 09:00:00;2021-09-10 12:35:58;Завершено;"БИК: NBRKKZKX, ИИК: KZ70125KZT1002313687, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Маска трехслойная;2021-09-24 15:00:00;2021-10-01 15:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Лицензия;2021-09-30 14:00:00;2021-10-11 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ70125KZT1002313687, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги обучения  Административно-процедурно-процессуальный Кодекс РК, вступивший в силу 1 июля 2021 г.: практика применения;2021-09-14 15:40:00;2021-09-15 10:43:34;Завершено;"БИК: HSBKKZKX, ИИК: KZ706010131000043597, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по обучению персонала/сотрудников;2021-09-17 12:00:00;2021-09-17 15:39:48;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Говядина ;2021-09-09 09:00:00;2021-09-16 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по замене лобового стекла автомобиля (Camry);2021-09-24 15:00:00;2021-10-01 15:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Лента стальная;2021-09-30 11:00:00;2021-09-30 16:04:58;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аттестации/оценке и проверке знаний/уровня подготовки персонала/сотрудников;2021-09-17 11:00:00;2021-09-17 11:10:16;Завершено;"БИК: NBRKKZKX, ИИК: KZ48125KZTT004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому контролю (осмотру) дорожных транспортных средств;2021-09-14 15:00:00;2021-09-15 08:33:24;Завершено;"БИК: NBRKKZKX, ИИК: KZ96125KZTF004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по страхованию имущества от ущерба (кроме страхования автомобильного, железнодорожного, воздушного, водного транспорта, грузов);2021-09-09 09:00:00;2021-09-20 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Переосвидетельствование огнетушителей;2021-09-27 09:00:00;2021-09-27 10:07:32;Завершено;"БИК: NBRKKZKX, ИИК: KZ14125KZTL008100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
"Услуги по обучению персонала/сотрудников для Кызылординского ОФ АО ""ЕНПФ"" на 2021 год";2021-09-15 09:00:00;2021-09-15 10:53:53;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
аренда служебных помещений и сопутствующих услуг в Актюбинском филиале Национального Банка Республики Казахстан;2021-02-05 09:00:00;2021-02-16 09:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Программное обеспечение;2021-10-01 09:00:00;2021-10-04 10:08:21;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Закупка услуг;2021-09-24 15:00:00;2021-09-28 15:12:48;Завершено;"БИК: NBRKKZKX, ИИК: KZ43125KZTS005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки канцелярских товаров;2021-09-08 13:10:00;2021-09-13 17:44:16;Завершено;"БИК: NBRKKZKX, ИИК: KZ24125KZT1001307752, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Счетчик водомер;2021-09-15 09:00:00;2021-09-16 12:33:30;Завершено;"БИК: NBRKKZKX, ИИК: KZ74125KZTN005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
аренда служебных помещений и сопутствующих услуг в Алматинском областном филиале Национального Банка Республики Казахстан;2021-02-05 09:00:00;2021-02-15 09:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Закупка канцелярских товаров;2021-09-27 09:00:00;2021-10-04 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки канцелярских товаров;2021-09-08 13:00:00;2021-09-09 16:58:09;Завершено;"БИК: NBRKKZKX, ИИК: KZ24125KZT1001307752, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по уборке (удалению) снега;2021-10-01 09:00:00;2021-10-08 10:00:00;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по сопровождению и технической поддержке информационной системы;2021-09-15 09:00:00;2021-09-21 09:24:20;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по лицензированию готового программного обеспечения прикладного;2021-09-09 09:00:00;2021-09-09 14:49:44;Завершено;"БИК: NBRKKZKX, ИИК: KZ09125KZT1002300138, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
"""Активационный ключ подписки на обновление программного  обеспечения и баз данных сигнатур систем  E-mail и Web Gateway на 60 рабочих станций"" ";2021-09-24 09:00:00;2021-09-24 13:37:31;Завершено;"БИК: VTBAKZKZ, ИИК: KZ264322203398B01022, КБЕ: 16, Банк: ДО АО ""Банк ВТБ (Казахстан)"", КАТО: 751410000, г. Алматы, ул. Тимирязева, 28в"
аренда служебных помещений и сопутствующих услуг в Атырауский филиале Национального Банка Республики Казахстан;2021-02-05 09:00:00;2021-02-15 09:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Набор инструментов;2021-09-15 09:00:00;2021-09-22 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Шкаф   вытяжной;2021-10-01 09:00:00;2021-10-18 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обучению персонала/сотрудников;2021-09-24 09:00:00;2021-09-24 12:53:59;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Консоль микшерная;2021-09-08 13:00:00;2021-09-08 16:24:39;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Набор настольный;2021-09-15 09:00:00;2021-09-15 15:18:02;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Перезарядка огнетушителей ОП2, ОП3, ОП5;2021-09-17 09:00:00;2021-09-24 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по ремонту нежилых зданий/сооружений/помещений;2021-09-30 09:00:00;2021-10-06 17:24:23;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Маркер;2021-09-24 09:00:00;2021-09-30 16:16:05;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Техническая поддержка единого программно-аппаратного комплекса для функционирования платежной системы;2021-09-09 09:00:00;2021-09-20 11:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Продукция сувенирная;2021-09-16 16:00:00;2021-09-16 16:13:49;Опубликовано;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Освежитель для унитазов;2021-09-15 10:00:00;2021-09-16 10:23:14;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обучению персонала/сотрудников;2021-09-30 09:00:00;2021-10-01 10:33:43;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Краска водоэмульсионная;2021-09-24 09:00:00;2021-09-27 08:54:08;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Контактор;2021-09-09 10:00:00;2021-09-16 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обучению персонала/сотрудников;2021-09-17 09:00:00;2021-09-17 13:16:49;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по техническому контролю (осмотру) дорожных транспортных средств;2021-09-14 09:00:00;2021-09-14 09:30:48;Завершено;"БИК: NBRKKZKX, ИИК: KZ96125KZTF004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
"""Услуги смс-рассылки (основной) по добровольным  видам страхования """;2021-09-30 09:00:00;2021-10-11 09:00:00;Завершено;"БИК: VTBAKZKZ, ИИК: KZ264322203398B01022, КБЕ: 16, Банк: ДО АО ""Банк ВТБ (Казахстан)"", КАТО: 751410000, г. Алматы, ул. Тимирязева, 28в"
Услуги по обучению персонала/сотрудников;2021-09-17 09:00:00;2021-09-17 15:29:34;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Система контроля и управления доступом;2021-09-14 09:00:00;2021-09-15 11:40:46;Завершено;"БИК: NBRKKZKX, ИИК: KZ12125KZTX005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Инструмент;2021-09-24 09:00:00;2021-10-01 11:34:57;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по разработке/корректировке/расчету/составлению проектно-сметной документации;2021-09-30 09:00:00;2021-10-06 11:32:48;Завершено;"БИК: NBRKKZKX, ИИК: KZ34125KZTC006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупки канцелярских товаров;2021-09-07 20:00:00;2021-09-09 11:36:35;Завершено;"БИК: NBRKKZKX, ИИК: KZ24125KZT1001307752, КБЕ: 17, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по обучению персонала/сотрудников;2021-09-17 09:00:00;2021-09-17 15:27:14;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка услуг по оценке ;2021-09-14 09:00:00;2021-09-15 10:29:05;Завершено;"БИК: NBRKKZKX, ИИК: KZ96125KZTF004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Бумага;2021-09-24 09:00:00;2021-10-01 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по ремонту автотранспортных средств;2021-09-30 09:00:00;2021-09-30 10:15:39;Завершено;"БИК: NBRKKZKX, ИИК: KZ96125KZTF004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по утилизации ОС и НМА для филиала в г.Шымкент на 2021 г.;2021-09-08 09:00:00;2021-09-08 10:38:50;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги автомобильного транспорта по перевозкам грузов (кроме перевозки нефтепродуктов, замороженных или охлажденных грузов, жидких или газообразных грузов, животных, почты и грузов в контейнерах);2021-09-14 09:00:00;2021-09-21 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ70125KZT1002313687, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
аренда служебных помещений и сопутствующих услуг в Восточно-Казахстанском областном филиале Национального Банка Республики Казахстан;2021-02-05 09:00:00;2021-02-16 09:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Пломба контрольная;2021-09-23 13:00:00;2021-09-29 09:51:22;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Повышение квалификации по теме: Red Hat System Administration. Навыки работы в командной строке для администраторов Linux;2021-09-30 09:00:00;2021-10-07 11:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Машина холодильная;2021-09-08 09:00:00;2021-09-15 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ86125KZT5004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Ангидрид фталевый;2021-09-27 09:00:00;2021-10-04 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по уборке (удалению) снега;2021-09-14 09:00:00;2021-09-14 10:50:34;Завершено;"БИК: NBRKKZKX, ИИК: KZ69125KZTM006100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка электроизделий - ПЗД;2021-09-16 15:00:00;2021-09-17 11:18:15;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по аттестации/оценке и проверке знаний/уровня подготовки персонала/сотрудников;2021-09-08 09:00:00;2021-09-09 18:19:48;Завершено;"БИК: NBRKKZKX, ИИК: KZ41125KZTR004100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Программное обеспечение;2021-09-30 09:00:00;2021-10-07 10:00:00;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Радиотелефон;2021-09-24 09:00:00;2021-10-01 09:30:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Кожный антисептик;2021-09-14 10:00:00;2021-09-14 13:52:13;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Поверка манометров, термометров;2021-09-08 10:00:00;2021-09-08 14:39:08;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Межсетевой экран;2021-09-30 09:00:00;2021-10-07 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
аренда служебных помещений и сопутствующих услуг в Западно-Казахстанском областном филиале Национального Банка Республики Казахстан;2021-02-05 09:00:00;2021-02-11 09:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Услуги по сертификации продукции/процессов/работы/услуги;2021-09-24 09:00:00;2021-10-01 10:00:00;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Набор инструментов;2021-09-14 09:00:00;2021-09-21 09:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Светильники;2021-09-16 15:00:00;2021-09-17 13:06:39;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по диагностированию/экспертизе/анализу/испытаниям/тестированию/осмотру (услуги по испытанию параметров системы вентиляции, кондиционирования и противодымной (в том числе пределов огнестойкости и сопротивления дымогазопроницанию для АО «ЕНПФ» в г. Нур-Султан по Лотам №№1,2 на 2021 год;2021-09-08 09:00:00;2021-09-08 16:29:28;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Обязательное повышение квалификации профессиональных бухгалтеров;2021-09-30 09:00:00;2021-10-07 09:30:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ54125KZT1002300104, КБЕ: 15, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Услуги по изучению/исследованию/мониторингу/анализу рынка/деятельности;2021-09-14 09:00:00;2021-09-14 10:57:31;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги шиномонтажа (выездной) ;2021-09-30 10:00:00;2021-10-07 10:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Закупка уничтожителя бумаги (шредер);2021-09-23 11:00:00;2021-09-30 11:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ39125KZT1001305542, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
аренда служебных помещений и сопутствующих услуг в Костанайском областном филиале Национального Банка Республики Казахстан;2021-02-05 09:00:00;2021-02-19 09:00:00;Завершено;"БИК: KCJBKZKX, ИИК: KZ818562203108207255, КБЕ: 16, Банк: АО ""Банк ЦентрКредит"", КАТО: 751110000, г. Алматы, пр.  Аль-Фараби, 38"
Электронная закупка услуг по мойке машин для Жамбылского ОФ АО «ЕНПФ»  по Лотам №№1-2 на 2021 год. ;2021-09-08 09:00:00;2021-09-15 09:00:00;Завершено;"БИК: HSBKKZKX, ИИК: KZ776010131000118840, КБЕ: 15, Банк: АО ""Народный Банк Казахстана"", КАТО: 751710000, г. Алматы, пр. Аль-Фараби, д. 40"
Услуги по техническому обслуживанию газопровода и газового оборудования  ;2021-09-30 09:00:00;2021-10-04 10:32:35;Завершено;"БИК: NBRKKZKX, ИИК: KZ74125KZTN005100100, КБЕ: 13, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Работы по разработке/корректировке/расчету/составлению проектно-сметной документации;2021-09-08 08:00:00;2021-09-16 12:00:00;Завершено;"БИК: NBRKKZKX, ИИК: KZ77125KZT1001300105, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
Средства для пожаротушения;2021-09-13 14:00:00;2021-09-16 10:07:34;Завершено;"БИК: NBRKKZKX, ИИК: KZ61125KZT1001300102, КБЕ: 16, Банк: РГУ ""Национальный Банк Республики Казахстан"", КАТО: 751410000, КАЗАХСТАН, г. Нур-Султан, р. Есиль, п. Мангилик Ел, зд. 57А"
